ID,LIMIT_BAL,MARRIAGE,EDUCATION,SEX,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,TARGET
4633,140000,2,2,2,43,22844,8178,3776,0
4634,20000,2,3,2,39,1908,1278,0,0
4635,50000,1,2,2,40,33441,20668,22926,0
4636,60000,1,3,2,38,0,780,780,0
4637,70000,2,2,1,34,69368,69259,71488,0
4638,8.00E+05,1,2,1,44,7639,5552,64535,0
4639,320000,1,3,1,36,37361,21796,10798,0
4640,330000,2,2,1,35,16270,140,500,0
4641,60000,1,3,1,42,282,61573,32122,0
4642,130000,2,2,2,39,34970,14867,10341,0
4643,230000,1,3,1,34,9462,9701,10277,0
4644,10000,2,2,1,39,9298,9093,8528,0
4645,240000,2,2,1,34,167544,168609,172591,0
4646,180000,2,3,2,38,9862,2896,2458,0
4647,1.00E+05,2,2,1,37,61396,60621,58855,0
4648,430000,2,3,1,39,325,325,325,0
4649,50000,2,2,1,36,50497,49289,36295,0
4650,290000,2,3,2,38,74864,36317,34491,0
4651,360000,2,3,1,34,2758,1448,3740,0
4652,380000,1,2,2,39,19261,81961,61189,0
4653,50000,1,2,1,38,58102,59011,56272,0
4654,10000,2,3,1,38,8417,6281,8567,0
4655,380000,2,3,1,37,68943,75024,61114,0
4656,210000,1,2,1,37,1443,1443,1443,0
4657,360000,2,3,1,40,2807,894,5939,0
4658,80000,2,3,2,38,78025,80224,81619,0
4659,390000,1,3,1,31,30642,31843,32860,0
4660,220000,2,3,2,36,205310,203343,209214,0
4661,80000,2,2,2,41,47502,50423,49311,0
4662,20000,2,4,1,38,19062,19242,14725,0
4663,430000,2,1,1,38,37693,3390,5930,0
4664,190000,2,1,1,34,124896,100078,102801,0
4665,360000,2,3,2,40,750,1166,398,0
4666,90000,1,1,2,33,90483,90944,90720,0
4667,160000,2,3,1,35,2275,0,0,0
4668,220000,2,2,2,36,217345,100501,74430,0
4669,340000,1,2,2,39,40681,43171,45465,0
4670,70000,2,2,2,38,53399,49108,49674,0
4671,140000,2,3,2,42,10064,10551,11655,0
4672,50000,2,4,2,38,47937,33816,60320,0
4673,50000,2,3,2,38,0,0,0,0
4674,190000,1,2,2,36,124082,125032,129167,0
4675,140000,2,2,1,36,59693,61732,62411,0
4676,150000,2,1,2,42,69235,69407,69232,0
4677,290000,2,2,2,37,18125,20807,99860,0
4678,1.00E+05,2,3,1,42,27163,29408,29395,0
4679,5.00E+05,2,3,1,38,297309,290425,286959,0
4680,30000,2,2,2,44,99568,32326,31840,0
4681,40000,1,1,1,37,34203,33885,34605,0
4682,120000,2,3,2,38,120568,122285,123294,0
4683,150000,2,3,2,38,0,0,689,0
4684,310000,1,2,2,37,7246,6713,9507,0
4685,240000,1,2,2,34,133954,138785,141894,0
4686,2.00E+05,2,3,1,37,1201,0,973,0
4687,80000,1,3,2,37,36444,33840,31768,0
4688,210000,2,3,2,40,199251,205143,192260,0
4689,150000,3,4,2,38,-260,-2835,3960,0
4690,10000,2,3,2,33,9397,9709,10228,0
4691,220000,1,3,2,37,249449,243517,228368,0
4692,3.00E+05,2,1,2,39,0,3958,0,0
4693,170000,1,2,1,37,30779,30751,23602,0
4694,50000,2,1,1,39,44036,35498,33043,0
4695,430000,1,2,2,39,1343,909,5271,0
4696,260000,1,2,2,35,148,359,397,0
4697,70000,2,2,1,40,-8187,-17810,-595,0
4698,90000,2,3,2,39,85365,88054,90370,0
4699,30000,1,1,1,34,13386,13218,14453,0
4700,80000,1,2,2,44,0,0,0,0
4701,20000,3,4,2,35,17962,17858,17972,0
4702,2.00E+05,2,2,2,34,0,0,0,0
4703,50000,2,3,1,38,47155,23882,10054,0
4704,170000,3,2,2,39,44544,37432,38658,0
4705,5.00E+05,2,3,2,37,78335,61234,55446,0
4706,50000,1,2,1,36,28440,23228,21482,0
4707,280000,1,2,1,35,22331,22341,23359,0
4708,210000,1,3,2,37,2360,4707,4465,0
4709,180000,2,3,2,41,44478,40311,43847,0
4710,1.00E+05,1,2,2,40,20755,20043,19778,0
4711,640000,2,3,2,38,116714,77893,60259,0
4712,40000,1,3,1,39,87313,88918,92387,0
4713,10000,2,3,2,38,6632,7095,7565,0
4714,70000,1,1,2,43,16976,0,0,0
4715,1.00E+05,1,4,2,36,95980,99056,100415,0
4716,290000,2,2,1,34,10823,13226,652,0
4717,1.00E+05,2,2,2,38,1023,0,0,0
4718,390000,1,2,2,30,359641,283210,240876,0
4719,5.00E+05,1,3,1,35,11430,29015,25364,0
4720,310000,2,3,1,35,279711,266417,271746,0
4721,150000,1,1,1,38,88900,91812,92411,0
4722,220000,1,3,1,39,7695,2701,98376,0
4723,110000,1,3,2,33,3261,1380,1380,0
4724,4.00E+05,2,3,2,37,5567,13011,22396,0
4725,30000,2,2,1,35,19955,20348,18339,0
4726,50000,1,3,2,37,42980,44015,45284,0
4727,410000,2,3,1,36,53629,50359,44596,0
4728,290000,1,3,1,40,222000,226917,415700,0
4729,90000,2,2,2,41,80551,11066,2408,0
4730,5.00E+05,1,2,2,34,17172,34674,6229,0
4731,140000,1,2,2,34,129996,132004,127275,0
4732,2.00E+05,1,2,2,37,3035,199602,720,0
4733,30000,2,2,2,35,27332,26600,27832,0
4734,50000,2,3,2,35,15036,15790,18202,0
4735,150000,2,3,1,35,131490,145714,147332,0
4736,60000,2,3,2,36,24066,24786,27050,0
4737,1.00E+05,2,3,1,34,96846,98364,21255,0
4738,360000,1,1,1,36,234825,242378,235716,0
4739,450000,1,3,1,43,70825,17236,8680,0
4740,270000,2,2,2,41,116168,118661,121106,0
4741,270000,2,3,2,41,990,5850,0,0
4742,50000,1,1,2,37,10184,12204,13239,0
4743,60000,1,2,2,33,57030,48742,35628,0
4744,20000,1,1,2,40,15894,15354,14786,0
4745,410000,2,3,2,42,43719,44624,40881,0
4746,420000,1,3,2,36,3790,19292,15068,0
4747,280000,1,2,2,39,101803,100836,96333,0
4748,50000,1,3,1,39,48096,49267,48078,0
4749,50000,2,2,1,36,51047,47924,49053,0
4750,20000,1,2,2,37,16320,18044,19003,0
4751,330000,1,1,2,39,81084,82838,84470,0
4752,50000,1,2,1,40,2522,0,2522,0
4753,10000,2,2,1,35,9526,9240,8950,0
4754,80000,2,3,2,37,53261,38091,19744,0
4755,20000,2,3,2,38,19422,17545,18163,0
4756,360000,2,2,2,43,264971,257086,253407,0
4757,180000,1,3,2,45,176793,173034,171772,0
4758,160000,1,2,2,40,346,0,0,0
4759,140000,1,1,2,32,119184,130939,90894,0
4760,50000,2,1,1,42,0,0,0,0
4761,1.00E+05,2,4,1,37,104264,101658,97937,0
4762,140000,2,2,2,43,84873,82471,84235,0
4763,1.00E+05,2,2,1,37,25994,27173,44285,0
4764,80000,1,2,1,37,78216,62890,52973,0
4765,320000,2,2,2,35,98697,100572,103621,0
4766,250000,2,2,1,34,34799,25831,24448,0
4767,20000,2,2,2,36,15675,17462,16895,0
4768,170000,1,3,2,30,54957,56462,58023,0
4769,5.00E+05,1,4,2,38,5353,5739,5578,0
4770,360000,2,3,1,39,78398,86955,127146,0
4771,230000,2,1,2,39,2380,0,0,0
4772,260000,2,3,2,39,203896,196219,188608,0
4773,240000,2,3,2,40,5886,5055,8774,0
4774,180000,1,2,2,36,171768,164274,165923,0
4775,230000,2,2,2,40,0,0,13499,0
4776,150000,1,1,2,32,0,0,0,0
4777,110000,2,3,2,42,48123,49537,50422,0
4778,290000,1,1,1,35,271508,261713,267792,0
4779,30000,2,3,2,33,4000,5645,3508,0
4780,250000,2,2,1,31,123148,135439,42090,0
4781,120000,2,2,2,37,0,0,554,0
4782,450000,1,2,2,37,7361,8670,6982,0
4783,410000,2,3,2,38,4151,4357,10513,0
4784,150000,1,2,2,36,-122,16711,8004,0
4785,140000,2,2,2,37,8068,9446,13271,0
4786,230000,1,1,2,32,67810,61602,48294,0
4787,150000,1,4,2,34,156252,121999,28119,0
4788,30000,2,2,1,42,28118,29266,28829,0
4789,210000,2,1,2,31,27316,15316,15316,0
4790,30000,2,2,1,35,24386,23744,23090,0
4791,140000,2,1,2,37,0,0,0,0
4792,30000,2,2,1,40,29119,29827,29583,0
4793,150000,2,1,1,40,9240,386,12870,0
4794,2.00E+05,2,3,2,30,27869,5531,6781,0
4795,60000,1,2,2,41,57199,57417,35875,0
4796,180000,1,4,2,37,84484,79099,77640,0
4797,140000,3,3,2,35,0,780,1176,0
4798,180000,2,2,1,33,1156,396,776,0
4799,130000,1,2,2,43,50662,51562,47928,0
4800,20000,2,3,1,38,15934,15028,16023,0
4801,2.00E+05,2,3,2,39,0,185,1916,0
4802,2.00E+05,2,3,2,35,56555,0,0,0
4803,280000,1,3,2,44,929,1669,5707,0
4804,240000,1,2,1,35,5428,9054,13158,0
4805,270000,2,3,2,37,70587,70279,69339,0
4806,50000,2,2,2,37,8567,15273,11650,0
4807,210000,1,3,2,39,50720,52174,48957,0
4808,5.00E+05,1,3,1,39,48169,53197,63010,0
4809,50000,2,2,2,33,37259,32822,20669,0
4810,50000,1,1,2,39,29731,30329,26823,0
4811,150000,2,1,2,35,1877,709,2264,0
4812,330000,1,2,1,35,901,0,0,0
4813,2.00E+05,2,2,2,41,264,264,264,0
4814,30000,2,1,1,41,390,390,1170,0
4815,10000,2,1,1,30,4520,3483,6862,0
4816,60000,2,3,2,38,23690,22413,17399,0
4817,180000,1,2,1,43,0,0,0,0
4818,360000,1,2,2,39,26680,22312,19181,0
4819,280000,1,3,2,38,26573,17597,22284,0
4820,210000,1,3,2,43,1494,6545,11755,0
4821,260000,3,1,2,38,185441,190942,194161,0
4822,340000,1,3,2,38,15065,41951,86114,0
4823,20000,1,2,2,37,18126,19174,20095,0
4824,330000,1,2,1,34,19540,23240,166722,0
4825,1.00E+05,1,2,2,34,95326,97972,99147,0
4826,30000,1,2,1,40,30573,28473,29083,0
4827,340000,2,2,2,37,80174,82761,83636,0
4828,160000,2,2,2,35,0,0,0,0
4829,110000,2,2,2,37,2015,1403,2684,0
4830,30000,2,2,2,41,9725,10766,12070,0
4831,280000,2,3,2,39,36395,35945,36381,0
4832,210000,2,2,2,39,0,8333,0,0
4833,190000,2,2,2,42,183821,186084,184426,0
4834,2.00E+05,2,2,2,35,138636,140982,145038,0
4835,410000,2,3,1,41,4111,874,25014,0
4836,170000,2,2,1,39,108717,69632,56537,0
4837,50000,1,1,1,38,29287,29875,15028,0
4838,160000,2,3,1,39,30265,-131,-527,0
4839,20000,1,2,1,35,6715,7736,8745,0
4840,470000,1,2,1,41,181224,143173,145293,0
4841,220000,2,1,2,32,179430,177387,175378,0
4842,5.00E+05,1,3,2,44,238708,313903,323841,0
4843,340000,2,2,2,32,14745,9318,4794,0
4844,50000,2,2,2,42,865,1893,3991,0
4845,3.00E+05,1,3,1,39,19954,22492,20477,0
4846,140000,2,3,1,35,130905,122390,122024,0
4847,210000,2,2,2,37,21780,20974,18652,0
4848,50000,1,2,1,41,48612,50525,0,0
4849,5.00E+05,2,1,1,39,17362,16666,16666,0
4850,150000,1,2,2,41,17594,14850,15919,0
4851,340000,1,3,1,42,6888,2913,340,0
4852,2.00E+05,1,3,2,41,316,316,316,0
4853,450000,2,2,1,37,-14,2568,-387,0
4854,210000,1,4,2,39,84018,23953,0,0
4855,3.00E+05,2,3,1,35,390,390,390,0
4856,450000,1,2,2,39,8521,15934,7266,0
4857,2.00E+05,2,3,2,36,2704,4959,5800,0
4858,90000,1,3,2,38,6160,3274,6190,0
4859,2.00E+05,2,2,2,43,194202,197220,130930,0
4860,40000,2,3,1,36,10567,264,3430,0
4861,290000,2,3,2,33,1459,1029,2154,0
4862,50000,1,2,2,38,49644,0,0,0
4863,60000,1,1,1,36,59703,59837,48187,0
4864,1.00E+05,1,1,2,41,16033,1716,1200,0
4865,5.00E+05,2,3,2,40,2398,4583,13519,0
4866,240000,1,2,2,34,17047,15188,11366,0
4867,1.00E+05,2,2,2,36,1919,1831,163,0
4868,180000,2,3,2,37,-23,5631,2771,0
4869,240000,2,2,1,40,171974,175049,176990,0
4870,1.00E+05,3,4,1,34,40199,39218,35464,0
4871,360000,2,3,2,36,0,0,0,0
4872,30000,1,2,2,40,11042,12051,13101,0
4873,470000,1,2,2,38,212948,188435,182687,0
4874,320000,1,2,1,36,208207,9222,10244,0
4875,270000,2,2,1,38,0,0,7304,0
4876,150000,1,2,2,40,1499,1231,0,0
4877,120000,2,3,2,36,2897,481,721,0
4878,1.00E+05,2,2,2,32,92683,84278,86977,0
4879,260000,2,3,2,40,254749,259549,258390,0
4880,70000,2,3,2,37,5328,212,41069,0
4881,3.00E+05,2,4,2,38,2892,4009,4725,0
4882,210000,1,3,2,39,167,0,0,0
4883,2.00E+05,2,3,2,33,1698,2751,3665,0
4884,110000,1,2,2,38,5174,6184,8383,0
4885,150000,2,2,2,41,1739,1984,112,0
4886,50000,2,3,2,41,0,0,0,0
4887,170000,1,3,1,34,0,0,0,0
4888,70000,1,2,2,40,22914,23953,23275,0
4889,80000,2,3,2,35,78327,79322,76290,0
4890,10000,2,2,2,36,7797,8893,9665,0
4891,180000,1,2,1,35,2745,3873,3275,0
4892,140000,3,1,1,37,75883,67073,57233,0
4893,20000,2,1,2,38,12241,16020,16457,0
4894,50000,2,3,2,35,42543,34629,27095,0
4895,50000,2,2,1,39,1399,2441,3865,0
4896,210000,2,3,2,44,10128,19631,23906,0
4897,60000,2,3,2,37,16006,16840,18001,0
4898,170000,1,3,2,40,1554,360,1562,0
4899,170000,2,3,1,45,2190,264,1408,0
4900,110000,2,2,1,41,69564,51264,51584,0
4901,250000,1,3,2,35,0,2886,2325,0
4902,180000,2,3,1,37,0,0,0,0
4903,30000,2,3,1,31,28495,29632,30629,0
4904,50000,2,3,2,36,10012,11039,12549,0
4905,250000,3,1,2,38,260260,262132,240448,0
4906,70000,1,2,1,40,32507,29775,31273,0
4907,150000,1,1,2,39,19130,10000,8000,0
4908,230000,2,3,2,35,1432,1094,665,0
4909,130000,1,2,2,37,45563,46607,47329,0
4910,70000,1,2,2,44,30175,31289,31678,0
4911,430000,2,3,2,38,10226,5671,52983,0
4912,80000,2,3,2,42,40764,41765,42251,0
4913,140000,1,2,1,36,64372,64937,59133,0
4914,80000,1,1,2,39,76752,77528,68966,0
4915,2.00E+05,2,3,2,37,1860,4464,29705,0
4916,4.00E+05,1,3,2,41,0,3328,3328,0
4917,140000,1,3,1,37,51028,52112,55232,0
4918,2.00E+05,1,2,2,37,2155,0,1750,0
4919,4.00E+05,1,2,2,41,0,0,1228,0
4920,360000,1,2,2,38,0,0,0,0
4921,5.00E+05,2,3,2,37,10361,263,8050,0
4922,230000,1,2,1,36,203218,208414,203466,0
4923,410000,1,2,1,38,40390,9760,9712,0
4924,290000,1,2,2,38,11303,17493,21036,0
4925,1.00E+05,2,3,2,32,0,0,0,0
4926,140000,3,3,1,38,141148,139572,86612,0
4927,2.00E+05,2,2,2,38,4644,5670,8107,0
4928,160000,2,3,1,43,0,6285,0,0
4929,110000,2,1,2,36,111255,110615,112071,0
4930,290000,2,3,2,39,21720,1240,3682,0
4931,50000,2,3,1,41,51175,47514,23927,0
4932,130000,2,2,1,37,88549,74624,76133,0
4933,60000,2,2,2,30,12193,13983,15746,0
4934,80000,2,2,2,37,68250,68817,71181,0
4935,50000,1,2,1,36,43389,44381,45942,0
4936,160000,1,2,2,41,25338,27601,31818,0
4937,230000,1,3,1,44,306836,295324,303082,0
4938,320000,2,2,2,37,7444,5755,34909,0
4939,470000,1,3,2,36,163000,160298,135683,0
4940,240000,2,3,2,41,138151,111189,75880,0
4941,220000,2,3,1,37,75538,78315,80361,0
4942,80000,1,1,2,34,63695,33283,22442,0
4943,150000,1,2,1,35,116778,59731,89742,0
4944,110000,2,3,2,44,103135,99731,101945,0
4945,20000,2,3,2,37,14603,15661,16394,0
4946,130000,2,1,2,39,3929,4857,5771,0
4947,50000,2,1,1,40,43099,44233,35147,0
4948,1.00E+05,1,2,2,34,97062,74352,75004,0
4949,250000,1,2,2,36,47463,41059,35722,0
4950,280000,2,3,2,32,2475,1236,2726,0
4951,70000,2,2,2,36,66915,68852,69390,0
4952,280000,1,3,1,41,3587,3187,3190,0
4953,150000,2,2,1,40,4966,-1390,-4661,0
4954,2.00E+05,1,2,2,37,827,1654,827,0
4955,150000,2,2,1,31,12593,39494,33616,0
4956,50000,1,2,1,32,49139,50125,0,0
4957,2.00E+05,1,3,1,39,7468,5023,618,0
4958,20000,2,2,2,42,9763,925,4033,0
4959,2.00E+05,1,1,2,37,154875,140376,129962,0
4960,4.00E+05,2,3,1,38,3359,6790,7010,0
4961,160000,1,2,1,41,93174,95274,97291,0
4962,170000,1,1,1,35,40441,40937,34090,0
4963,120000,2,2,1,39,7111,5894,7670,0
4964,60000,1,2,2,31,60255,58374,48442,0
4965,120000,2,3,2,41,594,594,15611,0
4966,240000,2,2,1,35,62946,61940,61412,0
4967,280000,2,2,2,34,184050,171714,154940,0
4968,180000,1,2,2,38,2569,11662,11867,0
4969,170000,1,4,2,34,143737,129898,124370,0
4970,110000,2,2,2,45,-296,1733,-153,0
4971,110000,2,1,2,38,105979,108403,109172,0
4972,40000,2,3,1,39,977,1787,2566,0
4973,240000,1,2,1,43,215013,220938,213460,0
4974,50000,2,2,1,34,17698,16533,17636,0
4975,5.00E+05,1,2,1,37,2445,12988,2544,0
4976,250000,1,3,2,39,17454,-50,45297,0
4977,180000,2,3,1,37,666,662,-4,0
4978,1.00E+05,2,3,1,35,43128,6164,3775,0
4979,180000,1,1,2,36,478,478,2272,0
4980,150000,2,3,2,42,8982,0,1187,0
4981,50000,1,1,2,38,27172,28078,21165,0
4982,2.00E+05,2,3,2,35,-433,-433,-433,0
4983,2.00E+05,1,2,2,36,136264,138994,142744,0
4984,240000,1,2,2,36,197231,185901,189190,0
4985,90000,2,2,2,42,50200,49092,53295,0
4986,80000,2,3,2,33,0,416,832,0
4987,220000,1,2,2,40,24435,2131,36010,0
4988,340000,1,1,1,40,77181,59873,60396,0
4989,50000,2,2,2,34,49617,50352,49243,0
4990,20000,2,1,1,41,16973,17984,18748,0
4991,5.00E+05,2,2,1,39,126599,132527,138945,0
4992,340000,2,3,2,33,24400,27791,6097,0
4993,50000,2,2,1,36,51159,51699,50584,0
4994,320000,2,2,2,42,2391,1550,802,0
4995,90000,2,3,2,35,90922,80980,66503,0
4996,80000,2,2,2,41,12554,13564,14608,0
4997,2.00E+05,2,3,1,45,16000,0,0,0
4998,50000,3,1,2,34,44835,45989,47167,0
4999,140000,1,3,1,36,83957,87160,89365,0
5000,20000,1,1,2,43,12237,12870,0,0
5001,30000,2,1,2,44,-854,29393,27390,0
5002,30000,2,1,2,38,30244,29640,30451,0
5003,90000,2,3,2,38,316,3066,3832,0
5004,120000,1,3,1,36,165,0,788,0
5005,60000,1,2,2,39,25158,18473,7506,0
5006,470000,1,3,2,38,235490,125853,143646,0
5007,20000,1,2,2,29,10640,11252,12277,0
5008,250000,1,3,1,33,1635,2491,-60,0
5009,120000,2,3,1,34,0,0,0,0
5010,60000,2,2,2,35,27199,28358,28937,0
5011,210000,2,1,2,44,420522,203447,206683,0
5012,110000,1,1,1,40,108435,109572,45907,0
5013,90000,1,2,2,37,3817,8545,8961,0
5014,320000,1,2,2,40,46383,111937,0,0
5015,170000,2,2,2,34,-189,-189,-189,0
5016,30000,2,3,2,40,4242,3891,1005,0
5017,230000,1,2,2,37,113218,114665,115898,0
5018,180000,1,3,2,36,0,0,0,0
5019,50000,2,2,1,37,37486,35996,36679,0
5020,240000,1,2,2,39,890,236,0,0
5021,90000,1,3,1,29,40028,38704,37135,0
5022,5.00E+05,1,1,1,37,36875,26031,32389,0
5023,50000,1,2,1,34,25330,25894,26866,0
5024,250000,1,4,2,40,127786,60663,49181,0
5025,330000,1,2,1,38,171004,173360,175958,0
5026,20000,2,2,1,37,14591,16254,16686,0
5027,50000,2,2,2,41,2410,0,4494,0
5028,90000,2,2,1,39,2629,1076,1613,0
5029,130000,1,2,2,36,24565,22446,23245,0
5030,1.00E+05,1,3,2,37,43717,29954,24551,0
5031,220000,1,2,2,41,172184,170697,168041,0
5032,140000,2,2,2,35,44733,44144,44739,0
5033,210000,2,3,2,36,18662,6220,199,0
5034,20000,2,1,2,38,13543,14308,16856,0
5035,50000,2,2,2,38,44325,45861,47667,0
5036,480000,2,3,1,34,456668,424843,325772,0
5037,210000,1,3,2,33,67374,55004,56221,0
5038,30000,1,2,1,39,28729,28305,16084,0
5039,230000,2,3,1,41,56754,57171,56150,0
5040,350000,1,3,2,37,5037,14994,3101,0
5041,160000,2,3,2,42,386,4194,196,0
5042,450000,2,3,2,39,7256,812,17563,0
5043,40000,2,3,2,33,19133,0,0,0
5044,30000,1,2,1,40,22327,21696,21054,0
5045,50000,2,3,2,41,39787,28570,7545,0
5046,260000,1,1,1,37,250416,257987,260104,0
5047,210000,2,2,2,38,86598,88304,90648,0
5048,110000,2,2,2,38,0,576,0,0
5049,380000,2,3,2,37,384979,276655,174060,0
5050,50000,1,2,2,36,47407,37716,30873,0
5051,120000,2,2,2,33,874,0,0,0
5052,120000,2,3,2,37,17067,0,0,0
5053,230000,1,3,1,41,7904,860,-3,0
5054,150000,2,3,2,35,145138,140210,136196,0
5055,240000,2,2,2,38,50787,51524,31783,0
5056,210000,1,3,2,36,3490,3611,13920,0
5057,80000,2,2,1,38,2976,13384,2255,0
5058,60000,1,2,2,40,56899,58032,59624,0
5059,150000,2,3,2,39,125995,127467,130080,0
5060,120000,2,3,2,36,13060,23008,119558,0
5061,180000,2,2,1,36,139097,131157,128342,0
5062,150000,2,4,1,43,136692,91815,0,0
5063,270000,2,2,2,33,0,0,0,0
5064,310000,2,3,2,42,11683,9624,9022,0
5065,1.00E+05,1,1,1,37,94265,53376,85787,0
5066,110000,1,2,1,35,31042,33971,33143,0
5067,2.00E+05,1,3,1,37,10799,1208,1585,0
5068,80000,2,2,1,37,22619,31429,27923,0
5069,130000,2,2,2,41,29929,27812,21213,0
5070,70000,2,3,2,37,45707,40238,36620,0
5071,50000,2,1,1,40,47384,48814,49771,0
5072,320000,1,2,2,43,3825,3835,6746,0
5073,20000,2,2,1,32,18458,17334,16768,0
5074,50000,1,1,2,37,650,3415,3416,0
5075,450000,1,2,1,37,104485,92993,80647,0
5076,50000,1,2,1,36,49566,49483,48495,0
5077,110000,1,1,2,36,73064,70373,71730,0
5078,80000,2,1,2,41,80012,78748,76722,0
5079,2.00E+05,2,2,2,41,41906,17969,29789,0
5080,450000,2,3,1,38,16259,15026,17363,0
5081,290000,2,3,2,34,281950,263710,262786,0
5082,480000,2,3,2,37,7066,2328,4279,0
5083,190000,2,2,2,40,15740,106602,100177,0
5084,440000,2,2,2,38,23147,88848,42045,0
5085,20000,2,2,2,39,21838,20544,19991,0
5086,70000,1,2,2,36,8432,9596,10637,0
5087,1.00E+05,1,2,2,37,84883,86616,88207,0
5088,130000,2,1,2,40,49780,51200,88209,0
5089,90000,2,2,2,41,29239,14027,13559,0
5090,2.00E+05,1,2,2,37,17822,19741,18718,0
5091,110000,2,2,1,35,109345,111980,111563,0
5092,50000,2,3,2,45,49392,50350,50154,0
5093,2.00E+05,1,3,2,39,1662,2482,19272,0
5094,20000,1,2,1,43,18462,18175,16184,0
5095,250000,1,2,1,38,390,390,390,0
5096,240000,2,4,1,38,219419,151914,159320,0
5097,170000,2,3,2,37,8404,16835,2200,0
5098,20000,2,2,2,35,295,748,-2,0
5099,630000,1,2,2,36,37850,68187,1207,0
5100,120000,1,2,2,42,22148,21120,4746,0
5101,310000,2,1,1,35,207995,211176,214160,0
5102,250000,2,1,2,35,44242,58876,73068,0
5103,50000,1,3,2,40,48519,35968,29453,0
5104,120000,2,3,1,34,884,0,0,0
5105,2.00E+05,1,3,2,35,-896,2500,653,0
5106,50000,2,3,1,39,60200,61600,71000,0
5107,2.00E+05,2,3,2,34,0,0,0,0
5108,2.00E+05,2,1,2,38,18021,17374,15463,0
5109,180000,2,3,2,41,94001,99558,106353,0
5110,220000,2,3,2,36,4289,4637,1252,0
5111,270000,2,3,2,41,54914,55423,57875,0
5112,180000,2,2,2,33,180754,85936,88542,0
5113,120000,2,2,1,35,115698,118277,121004,0
5114,380000,1,3,1,39,211463,201613,191343,0
5115,230000,1,2,2,41,3128,10998,1509,0
5116,150000,1,3,2,36,-3,-3,-3,0
5117,80000,2,2,2,36,79243,75254,58683,0
5118,170000,1,3,2,38,118379,120087,121958,0
5119,230000,1,1,2,38,170,2217,5167,0
5120,5.00E+05,1,2,1,42,1900,5441,0,0
5121,30000,1,2,1,37,25989,27100,27868,0
5122,3.00E+05,1,3,2,40,540,1283,843,0
5123,50000,2,3,1,41,18741,12724,13804,0
5124,60000,1,2,2,42,55120,47123,48367,0
5125,180000,1,3,1,36,257579,274731,281713,0
5126,130000,2,2,1,38,126454,128179,75525,0
5127,320000,2,2,1,32,172655,168256,165530,0
5128,50000,2,2,2,34,37522,38614,39671,0
5129,780000,1,3,1,33,171459,178587,190663,0
5130,2.00E+05,2,3,2,42,2396,1823,1630,0
5131,190000,1,2,2,43,104344,106814,104047,0
5132,420000,2,2,2,37,6277,30512,17516,0
5133,2.00E+05,1,3,2,41,-3,687,2740,0
5134,5.00E+05,2,2,2,38,215459,201715,141177,0
5135,30000,2,2,2,34,34048,33053,33506,0
5136,110000,1,2,1,35,102638,101681,100316,0
5137,230000,1,3,1,30,218094,225070,227528,0
5138,20000,1,1,2,39,7196,6780,7399,0
5139,250000,1,1,2,33,8443,13782,22997,0
5140,150000,1,1,1,36,250475,123543,52598,0
5141,150000,1,2,2,37,48020,50048,88831,0
5142,30000,1,3,2,37,25080,26460,27042,0
5143,2.00E+05,2,2,2,37,214261,210315,206563,0
5144,170000,1,2,2,38,0,0,0,0
5145,1.00E+05,2,1,2,37,2422,894,0,0
5146,290000,1,3,1,34,194301,199451,198684,0
5147,360000,1,3,2,39,3925,5320,1016,0
5148,2.00E+05,2,3,1,40,12716,12453,21910,0
5149,2.00E+05,1,2,2,41,153829,153229,148438,0
5150,20000,2,1,2,34,19080,20303,19302,0
5151,180000,2,3,1,36,9796,500,3866,0
5152,2.00E+05,1,3,1,35,5472,4306,4655,0
5153,2.00E+05,1,3,2,37,0,0,0,0
5154,60000,2,3,2,39,58841,60970,58082,0
5155,420000,2,3,2,38,392,396,47581,0
5156,250000,2,2,2,43,277822,255167,233029,0
5157,130000,1,1,2,38,124777,133265,129713,0
5158,210000,1,3,1,38,5411,5922,2174,0
5159,2.00E+05,2,2,2,35,10000,10000,10000,0
5160,360000,1,3,1,39,76584,85400,17295,0
5161,70000,2,2,2,43,72473,72189,71867,0
5162,1.00E+05,1,1,1,37,31647,32935,32689,0
5163,360000,1,3,1,33,21936,35331,30580,0
5164,80000,1,2,2,36,28408,25695,11553,0
5165,2.00E+05,2,2,1,39,67825,70193,64997,0
5166,230000,2,2,2,40,328,1593,2015,0
5167,150000,1,3,1,34,136518,146249,147624,0
5168,280000,1,3,1,41,1751,22046,63729,0
5169,220000,1,2,1,30,0,200,200,0
5170,130000,2,2,2,35,131630,65325,2315,0
5171,30000,2,2,2,35,415,150,150,0
5172,230000,1,3,2,37,5442,5142,5305,0
5173,80000,2,3,1,40,1300,179,0,0
5174,170000,1,3,1,39,-21,-21,-21,0
5175,130000,1,3,1,43,124108,126571,130870,0
5176,170000,2,3,2,38,3732,3732,3732,0
5177,380000,2,3,2,37,41727,44178,82860,0
5178,330000,1,3,2,34,234447,202747,180566,0
5179,40000,2,2,2,36,9268,8974,8885,0
5180,330000,2,3,2,39,1127,13030,14922,0
5181,150000,2,2,2,45,55,-94,-208,0
5182,170000,1,3,2,37,93095,95044,98505,0
5183,80000,2,3,1,38,48783,42692,34593,0
5184,70000,1,2,2,35,390,780,390,0
5185,340000,2,2,1,34,5060,7604,14900,0
